Matrix Size,Sparsity,Jacobi OMP Execution Time (ms),Gauss-Seidel Execution Time (ms),Gauss-Seidel OMP Execution Time (ms)
100,0.1,299,3,18
200,0.1,55,8,31
300,0.1,99,16,48
400,0.1,121,28,70
500,0.1,129,42,96
600,0.1,273,57,112
700,0.1,268,81,140
800,0.1,382,107,187
900,0.1,600,130,234
1000,0.1,672,170,291
1100,0.1,866,223,359
1200,0.1,1071,258,390
1300,0.1,1375,312,471
1400,0.1,1950,409,639
1500,0.1,3939,470,657
1600,0.1,2940,511,746
1700,0.1,3080,662,911
1800,0.1,4814,840,1067
1900,0.1,7234,923,1163
2000,0.1,8289,1046,1262
100,0.9,99,3,4
200,0.9,19,8,7
300,0.9,42,16,10
400,0.9,41,40,13
500,0.9,36,42,18
600,0.9,79,59,27
700,0.9,51,99,31
800,0.9,46,106,35
900,0.9,141,146,45
1000,0.9,166,179,51
1100,0.9,234,220,56
1200,0.9,277,284,65
1300,0.9,172,318,71
1400,0.9,403,394,89
1500,0.9,215,467,99
1600,0.9,476,521,123
1700,0.9,436,687,134
1800,0.9,811,816,143
1900,0.9,544,918,156
2000,0.9,1250,1131,155
100,0.99,16,3,4
200,0.99,40,8,7
300,0.99,23,15,10
400,0.99,33,26,13
500,0.99,101,38,17
600,0.99,47,56,22
700,0.99,42,79,26
800,0.99,57,104,47
900,0.99,26,134,33
1000,0.99,38,177,38
1100,0.99,135,219,44
1200,0.99,61,260,48
1300,0.99,121,314,54
1400,0.99,82,383,61
1500,0.99,87,442,68
1600,0.99,89,553,74
1700,0.99,96,676,82
1800,0.99,100,718,85
1900,0.99,167,838,95
2000,0.99,68,1181,135
