Matrix Size,Sparsity,Jacobi OMP Execution Time (ms),Gauss-Seidel Execution Time (ms),Gauss-Seidel OMP Execution Time (ms)
100,0.1,107,3,20
200,0.1,38,8,30
300,0.1,111,16,48
400,0.1,123,30,72
500,0.1,122,42,88
600,0.1,314,63,133
700,0.1,319,87,142
800,0.1,707,110,187
900,0.1,551,139,253
1000,0.1,1613,173,294
1100,0.1,930,223,348
1200,0.1,1415,271,425
1300,0.1,1710,328,504
1400,0.1,2119,393,592
1500,0.1,2597,476,678
1600,0.1,2464,567,744
1700,0.1,3734,721,891
1800,0.1,4942,812,1028
1900,0.1,7888,988,1201
2000,0.1,7627,1345,1875
100,0.9,50,3,4
200,0.9,71,9,7
300,0.9,22,16,10
400,0.9,24,29,14
500,0.9,55,42,18
600,0.9,51,59,28
700,0.9,106,112,31
800,0.9,76,105,35
900,0.9,142,141,44
1000,0.9,123,202,49
1100,0.9,108,285,56
1200,0.9,138,266,64
1300,0.9,170,325,79
1400,0.9,244,418,90
1500,0.9,226,438,98
1600,0.9,499,561,108
1700,0.9,675,659,129
1800,0.9,559,775,140
1900,0.9,1111,1103,138
2000,0.9,1286,1171,154
100,0.99,59,3,4
200,0.99,3,8,7
300,0.99,36,15,9
400,0.99,43,53,13
500,0.99,24,40,18
600,0.99,21,54,53
700,0.99,16,75,25
800,0.99,25,104,28
900,0.99,59,129,34
1000,0.99,19,191,40
1100,0.99,22,217,65
1200,0.99,69,256,49
1300,0.99,30,325,55
1400,0.99,121,370,60
1500,0.99,100,454,67
1600,0.99,111,538,73
1700,0.99,79,694,79
1800,0.99,130,756,101
1900,0.99,130,909,108
2000,0.99,126,1102,116
