Matrix Size,Sparsity,Jacobi OMP Execution Time (ms),Gauss-Seidel Execution Time (ms),Gauss-Seidel OMP Execution Time (ms)
100,0.1,107,3,12
200,0.1,59,9,33
300,0.1,53,17,67
400,0.1,96,29,70
500,0.1,168,51,100
600,0.1,302,67,167
700,0.1,272,80,246
800,0.1,615,105,204
900,0.1,617,140,340
1000,0.1,708,172,344
1100,0.1,985,211,357
1200,0.1,1116,313,531
1300,0.1,1524,370,533
1400,0.1,2055,376,564
1500,0.1,3481,474,653
1600,0.1,4161,592,791
1700,0.1,5777,676,858
1800,0.1,4122,878,1100
1900,0.1,6560,1060,1169
2000,0.1,10384,1166,1491
100,0.9,99,3,4
200,0.9,47,9,7
300,0.9,79,17,10
400,0.9,46,28,13
500,0.9,125,42,18
600,0.9,59,57,27
700,0.9,96,82,31
800,0.9,68,104,35
900,0.9,88,135,42
1000,0.9,137,178,50
1100,0.9,123,210,55
1200,0.9,137,269,65
1300,0.9,168,320,71
1400,0.9,427,396,85
1500,0.9,619,566,115
1600,0.9,274,639,150
1700,0.9,538,659,114
1800,0.9,533,874,143
1900,0.9,1022,1002,140
2000,0.9,1446,1114,159
100,0.99,46,3,4
200,0.99,11,8,7
300,0.99,58,16,11
400,0.99,66,28,13
500,0.99,36,39,21
600,0.99,80,66,21
700,0.99,48,78,25
800,0.99,79,124,28
900,0.99,55,137,35
1000,0.99,110,170,39
1100,0.99,56,214,44
1200,0.99,63,266,50
1300,0.99,76,334,55
1400,0.99,133,383,62
1500,0.99,117,442,65
1600,0.99,97,546,71
1700,0.99,121,776,154
1800,0.99,225,885,90
1900,0.99,161,1045,108
2000,0.99,185,1129,117
