Matrix Size,Sparsity,Partitions Number,Gauss-Seidel OMP Execution Time (ms)
10000,0.1,10000,112192
10000,0.2,2337,29679
10000,0.3,1699,23483
10000,0.4,1305,18174
10000,0.5,1007,16065
10000,0.6,770,11221
10000,0.7,563,9674
10000,0.8,376,6258
10000,0.9,203,3818
10000,0.91,183,4138
10000,0.92,167,3929
10000,0.93,149,3766
10000,0.94,131,3273
10000,0.95,113,3044
10000,0.96,94,2661
10000,0.97,76,2506
10000,0.98,56,2068
10000,0.99,34,1688
10000,0.999,9,1445
10000,0.9999,4,1530
10000,0.99999,2,1845
10000,0.999999,2,1929
